step_id,potion_family,step_label,input_1,input_2,output,output_extra_dose,output_doses,xp,level_req,zahur_clean,zahur_unf,wesley,dose_amulet,goggles
clean_avantoe,fishing\|hunter\|super_energy,Clean Avantoe,Grimy avantoe,,Avantoe,,,10,48,TRUE,FALSE,FALSE,FALSE,FALSE
clean_cadantine,super_defence\|battlemage,Clean Cadantine,Grimy cadantine,,Cadantine,,,12.5,65,TRUE,FALSE,FALSE,FALSE,FALSE
clean_dwarf_weed,ancient_brew\|menaphite_remedy\|ranging,Clean Dwarf weed,Grimy dwarf weed,,Dwarf weed,,,13.8,70,TRUE,FALSE,FALSE,FALSE,FALSE
clean_guam_leaf,attack,Clean Guam leaf,Grimy guam leaf,,Guam leaf,,,2.5,3,TRUE,FALSE,FALSE,FALSE,FALSE
clean_harralander,combat\|compost\|energy\|goading\|restore,Clean Harralander,Grimy harralander,,Harralander,,,6.3,20,TRUE,FALSE,FALSE,FALSE,FALSE
clean_huasca,prayer_regen,Clean Huasca,Grimy huasca,,Huasca,,,11.8,58,TRUE,FALSE,FALSE,FALSE,FALSE
clean_irit_leaf,super_attack\|superantipoison\|antidote_pp,Clean Irit leaf,Grimy irit leaf,,Irit leaf,,,8.8,40,TRUE,FALSE,FALSE,FALSE,FALSE
clean_kwuarm,super_strength\|weapon_poison,Clean Kwuarm,Grimy kwuarm,,Kwuarm,,,11.3,54,TRUE,FALSE,FALSE,FALSE,FALSE
clean_lantadyme,antifire\|magic,Clean Lantadyme,Grimy lantadyme,,Lantadyme,,,13.1,67,TRUE,FALSE,FALSE,FALSE,FALSE
clean_marrentill,antipoison,Clean Marrentill,Grimy marrentill,,Marrentill,,,3.8,5,TRUE,FALSE,FALSE,FALSE,FALSE
clean_ranarr_weed,defence_potion\|prayer_potion,Clean Ranarr weed,Grimy ranarr weed,,Ranarr weed,,,7.5,25,TRUE,FALSE,FALSE,FALSE,FALSE
clean_snapdragon,super_restore,Clean Snapdragon,Grimy snapdragon,,Snapdragon,,,11.8,59,TRUE,FALSE,FALSE,FALSE,FALSE
clean_tarromin,strength,Clean Tarromin,Grimy tarromin,,Tarromin,,,5,11,TRUE,FALSE,FALSE,FALSE,FALSE
clean_toadflax,agility_potion\|saradomin_brew\|antidote_p,Clean Toadflax,Grimy toadflax,,Toadflax,,,8,30,TRUE,FALSE,FALSE,FALSE,FALSE
clean_torstol,antivenom\|super_combat\|surge\|zamorak_brew,Clean Torstol,Grimy torstol,,Torstol,,,15,75,TRUE,FALSE,FALSE,FALSE,FALSE
make_agility_potion,agility_potion,Make Agility Potion,Toadflax potion (unf),Toad's legs,Agility potion(3),4,3,80,34,FALSE,FALSE,FALSE,TRUE,TRUE
make_ancient_brew,ancient_brew,Make Ancient Brew,Dwarf weed potion (unf),Nihil dust,Ancient brew(3),4,3,190,85,FALSE,FALSE,FALSE,TRUE,TRUE
make_antidote_p,antidote_p,Make Antidote+,Antidote+ (unf),Yew roots,Antidote+(3),4,3,155,68,FALSE,FALSE,FALSE,TRUE,TRUE
make_antidote_p_unf,antidote_p,Make Antidote+ (Unf),Toadflax,Coconut milk,Antidote+ (unf),,,0,68,FALSE,FALSE,FALSE,FALSE,FALSE
make_antidote_pp,antidote_pp,Make Antidote++,Antidote++ (unf),Magic roots,Antidote++(3),4,3,177.5,79,FALSE,FALSE,FALSE,TRUE,TRUE
make_antidote_pp_unf,antidote_pp,Make Antidote++ (Unf),Irit leaf,Coconut milk,Antidote++ (unf),,,0,79,FALSE,FALSE,FALSE,FALSE,FALSE
make_armadyl_brew,armadyl_brew,Make Armadyl Brew,Umbral coral potion (unf),Rainbow crab paste,Armadyl brew(3),4,3,205,89,FALSE,FALSE,FALSE,TRUE,TRUE
make_antifire,antifire,Make Antifire Potion,Lantadyme potion (unf),Dragon scale dust,Antifire potion(3),4,3,157.5,69,FALSE,FALSE,FALSE,TRUE,TRUE
make_antipoison,antipoison,Make Antipoison,Marrentill potion (unf),Unicorn horn dust,Antipoison(3),4,3,37.5,5,FALSE,FALSE,FALSE,TRUE,TRUE
make_antivenom_1,antivenom,Make Anti-venom(1),Antidote++(1),5x Zulrah's scales,Anti-venom(1),2,1,30,87,FALSE,FALSE,FALSE,TRUE,TRUE
make_antivenom_2,antivenom,Make Anti-venom(2),Antidote++(2),10x Zulrah's scales,Anti-venom(2),3,2,60,87,FALSE,FALSE,FALSE,TRUE,TRUE
make_antivenom_3,antivenom,Make Anti-venom(3),Antidote++(3),15x Zulrah's scales,Anti-venom(3),4,3,90,87,FALSE,FALSE,FALSE,TRUE,TRUE
make_antivenom_4,antivenom,Make Anti-venom(4),Antidote++(4),20x Zulrah's scales,Anti-venom(4),,4,120,87,FALSE,FALSE,FALSE,FALSE,TRUE
make_antivenom_p,antivenom,Make Anti-venom+,Anti-venom(4),Torstol,Anti-venom+,,4,125,94,FALSE,FALSE,FALSE,FALSE,TRUE
make_attack,attack,Make Attack Potion,Guam potion (unf),Eye of newt,Attack potion(3),4,3,25,3,FALSE,FALSE,FALSE,TRUE,TRUE
make_bastion,bastion,Make Bastion Potion,Cadantine blood potion (unf),Potato cactus,Bastion potion(3),4,3,155,80,FALSE,FALSE,FALSE,TRUE,TRUE
make_battlemage,battlemage,Make Battlemage Potion,Cadantine blood potion (unf),Potato cactus,Battlemage potion(3),4,3,155,80,FALSE,FALSE,FALSE,TRUE,TRUE
make_combat,combat,Make Combat Potion,Harralander potion (unf),Goat horn dust,Combat potion(3),4,3,84,36,FALSE,FALSE,FALSE,TRUE,TRUE
make_crushed_superior_dragon_bones,super_antifire\|extended_super_antifire,Make Crushed Superior Dragon Bones,Superior dragon bones,,Crushed superior dragon bones,,,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
make_compost,compost,Make Compost Potion,Harralander potion (unf),Volcanic ash,Compost potion(3),4,3,60,22,FALSE,FALSE,FALSE,TRUE,TRUE
make_defence_potion,defence_potion,Make Defence Potion,Ranarr potion (unf),White berries,Defence potion(3),4,3,75,30,FALSE,FALSE,FALSE,TRUE,TRUE
make_energy,energy,Make Energy Potion,Harralander potion (unf),Chocolate dust,Energy potion(3),4,3,67.5,26,FALSE,FALSE,FALSE,TRUE,TRUE
make_fishing,fishing,Make Fishing Potion,Avantoe potion (unf),Snape grass,Fishing potion(3),4,3,112.5,50,FALSE,FALSE,FALSE,TRUE,TRUE
make_goading,goading,Make Goading Potion,Harralander potion (unf),Aldarium,Goading potion(3),4,3,132,54,FALSE,FALSE,FALSE,TRUE,TRUE
make_guthix_rest,guthix_rest,Make Guthix Rest,Cup of hot water,Marrentill\|2x Guam leaf\|Harralander,Guthix rest,,3,59,18,FALSE,FALSE,FALSE,FALSE,FALSE
make_haemostatic_dressing,haemostatic,Make Haemostatic Dressing,Haemostatic poultice,Cotton yarn,Haemostatic dressing(3),4,3,100,56,FALSE,FALSE,FALSE,TRUE,TRUE
make_haemostatic_poultice,haemostatic,Make Haemostatic Poultice,Elkhorn coral potion (unf),Squid paste,Haemostatic poultice(3),4,3,27,56,FALSE,FALSE,FALSE,FALSE,TRUE
make_hunter,hunter,Make Hunter Potion,Avantoe potion (unf),Kebbit teeth dust,Hunter potion(3),4,3,120,53,FALSE,FALSE,FALSE,TRUE,TRUE
make_magic,magic,Make Magic Potion,Lantadyme potion (unf),Potato cactus,Magic potion(3),4,3,172.5,76,FALSE,FALSE,FALSE,TRUE,TRUE
make_menaphite_remedy,menaphite_remedy,Make Menaphite Remedy,Dwarf weed potion (unf),Lily of the sands,Menaphite remedy(3),4,3,200,88,FALSE,FALSE,FALSE,TRUE,TRUE
make_prayer_potion,prayer_potion,Make Prayer Potion,Ranarr potion (unf),Snape grass,Prayer potion(3),4,3,87.5,38,FALSE,FALSE,FALSE,TRUE,TRUE
make_prayer_regen,prayer_regen,Make Prayer Regeneration Potion,Huasca potion (unf),Aldarium,Prayer regeneration potion(3),4,3,132,58,FALSE,FALSE,FALSE,TRUE,TRUE
make_ranging,ranging,Make Ranging Potion,Dwarf weed potion (unf),Wine of zamorak,Ranging potion(3),4,3,162.5,72,FALSE,FALSE,FALSE,TRUE,TRUE
make_restore,restore,Make Restore Potion,Harralander potion (unf),Red spiders' eggs,Restore potion(3),4,3,62.5,22,FALSE,FALSE,FALSE,TRUE,TRUE
make_saradomin_brew,saradomin_brew,Make Saradomin Brew,Toadflax potion (unf),Crushed nest,Saradomin brew(3),4,3,180,81,FALSE,FALSE,FALSE,TRUE,TRUE
make_squid_paste_jumbo,haemostatic,Make Squid Paste (Jumbo),Raw jumbo squid,,Squid paste,,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
make_squid_paste_swordtip,haemostatic,Make Squid Paste (Swordtip),Raw swordtip squid,,Squid paste,,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
